test_question,expected_category,predicted_category,similarity_score,status,is_correct,matched_question
Mata kuliah semester satu apa saja?,kurikulum_semester_1,kurikulum_semester_2,0.5234,answered,False,Apa saja mata kuliah Semester 2 MTI UNPAM?
Semester 1 belajar apa?,kurikulum_semester_1,kurikulum_semester_1,0.4432,answered,True,Apa saja mata kuliah Semester 1 MTI UNPAM?
Apa fungsi mata kuliah data mining?,kurikulum_semester_1,kurikulum_semester_1,0.4379,answered,True,Apa yang dipelajari pada Data Mining?
Kenapa harus belajar algoritma analisis?,kurikulum_semester_1,kurikulum_semester_1,0.515,answered,True,Apa yang dipelajari pada Algoritma Analisis?
Modelling optimization itu untuk apa?,kurikulum_semester_1,kurikulum_semester_1,0.3937,answered,True,Apa yang dipelajari pada Modelling and Optimization?
Semester dua ada mata kuliah apa?,kurikulum_semester_2,kurikulum_semester_2,0.3943,answered,True,Semester dua MTI UNPAM mempelajari apa saja?
Statistik dan analisis data itu penting untuk apa?,kurikulum_semester_2,kurikulum_semester_1,0.3957,answered,False,Mengapa Algoritma Analisis penting untuk mahasiswa MTI?
Metode penelitian dipakai untuk apa?,kurikulum_semester_2,kurikulum_semester_2,0.6567,answered,True,Apa yang dipelajari pada Metode Penelitian?
Advanced intelligent systems membahas apa?,kurikulum_semester_2,kurikulum_semester_2,0.6495,answered,True,Apa yang dipelajari pada Advanced Intelligent Systems?
Apa manfaat audit dan tata kelola IT?,kurikulum_semester_2,kurikulum_semester_2,1.0,answered,True,Apa manfaat Audit dan Tata Kelola IT?
Peminatan data science belajar apa?,peminatan_data_science,peminatan_data_science,0.5018,answered,True,Apa fokus peminatan Data Science?
Advanced NLP itu membahas apa?,peminatan_data_science,peminatan_data_science,0.5054,answered,True,Apa yang dipelajari pada Advanced NLP?
Kalau suka computer vision cocoknya apa?,peminatan_data_science,peminatan_data_science,0.5485,answered,True,Apa yang dipelajari pada Advanced Computer Vision?
Tools yang perlu disiapkan untuk data science apa?,peminatan_data_science,peminatan_data_science,0.4403,answered,True,Apa saja kompetensi dasar yang perlu disiapkan sebelum memilih Data Science?
Apakah pemula python bisa ambil data science?,peminatan_data_science,peminatan_data_science,0.7508,answered,True,Apakah pemula Python bisa mengambil Data Science?
